Crop,Year,Month,Price
Rapeseed & Mustard,2022,February,216.6
Rapeseed & Mustard (Meal/Cake),2022,February,245.3
Rapeseed & Mustard Oil,2022,February,223.4
Rice,2022,February,152.6
Safflower,2022,February,209.9
Sesamum,2022,February,184.4
Soya oil,2022,February,178.1
Soybean,2022,February,275.7
Sugarcane,2022,February,199.8
Sunflower,2022,February,182.6
Sunflower oil,2022,February,156.4
Tobacco,2022,February,113.6
Tomato,2022,February,194.1
Tur,2022,February,176.4
Urad,2022,February,175.9
Wheat,2022,February,166.1
Wheat Atta,2022,February,155.6
Bajra,2023,February,219.6
Barley,2023,February,238.9
Castorseed,2023,February,129.4
Cotton,2023,February,171.1
Cotton (Meal/Cake),2023,February,193.2
Cotton Oil,2023,February,145.6
Gram,2023,February,165.6
Groundnut,2023,February,198.3
